Month,Production,Withdrawals,GlobalPrice,ExchangeRate,TempMax,Precipitation
2024-09-01,712525.2271698746,702364.1830389814,0.18026586744700268,56.84109616489867,29.466849277389485,333.56110012910835
2024-10-01,1160438.5679679753,1017521.6401028184,0.17864719402027077,56.91742641800216,29.34460460909829,294.43678289825414
2024-11-01,1469657.5951549257,972946.2737354287,0.17869534440533255,56.774532676906496,29.324753436667947,85.84167286279732
2024-12-01,1964884.7713156366,1036543.4041972199,0.17996719462437238,56.81995224461734,28.88663362486445,64.23686044621903
2025-01-01,2169354.14978891,1225488.925456042,0.18084552507574497,56.84676637035246,29.40259126253661,5.5188336956124715
2025-02-01,2039545.0155114797,1116926.7745795173,0.1805053930877052,56.81551784921319,30.490987428010385,-44.20519288646358
2025-03-01,1952547.6646021712,1155908.8193390155,0.179589321737211,56.83743866182476,31.429316405134514,-50.98908893638347
2025-04-01,1410493.7542293756,1207636.30813662,0.179190155576868,56.82206122929251,31.77745919141899,12.626925638120326
2025-05-01,1035930.7797750419,1124094.628458987,0.17960312692605432,56.832848485927286,31.054790378067587,162.94737134841873
2025-06-01,682391.1838888156,927474.8795188118,0.18020536751050462,56.82528123401703,29.800356603981125,290.3565513310001
2025-07-01,385725.11067177926,1041904.3507119303,0.18032304978851993,56.830589655185825,29.27927761217616,378.60341610196815
2025-08-01,534083.0146162529,839704.0508042895,0.17994741360614772,56.82686580197735,29.055892988729855,280.14302671405966
2025-09-01,674387.4142251309,457063.5927788197,0.17958718402680482,56.82947808202773,29.481992633145172,316.9535959344342
2025-10-01,1109184.8212580015,772221.0498426566,0.17961509925108854,56.8276455696596,29.549130027918245,277.82927870358
2025-11-01,1580448.251907303,727645.6834752669,0.17991052022344503,56.82893107562166,29.139805752631084,69.23416866812316
2025-12-01,1867297.7745437175,791242.813937058,0.18010174772366902,56.8280292942164,29.05459224592004,47.629356251544834
2026-01-01,2162522.8831053935,980188.3351958802,0.18001354165826505,56.82866189315167,29.44456457227759,-11.08867049906172
2026-02-01,2068880.123353254,871626.1843193553,0.17980391343777027,56.82821812550403,30.445728446955297,-60.81269708113777
2026-03-01,1849427.4775056771,910608.2290788537,0.17972049857222416,56.82852942815428,31.59338638114609,-67.59659313105766
2026-04-01,1494663.8169926573,962335.7178764583,0.17982070479142753,56.828311049593864,31.585115584547882,-3.980578556553837
2026-05-01,990610.2408050143,878794.0381988253,0.17995656277856675,56.82846424197951,30.941407239648004,146.33986715374454
2026-06-01,698725.6127954129,682174.28925865,0.1799777257013131,56.82835677764338,29.816772935561833,273.7490471363259
2026-07-01,454995.1267667552,796603.7604517684,0.1798891123749292,56.82843216378931,29.085161696905786,361.995911907294
2026-08-01,483170.62837953394,594403.4605441277,0.1798091769919292,56.82837928046817,29.25576022110269,263.5355225193855
2026-09-01,752930.8929880464,211763.0025186579,0.1798193911909455,56.828416378075694,29.491136689956324,300.34609173976
2026-10-01,1080781.2094251497,526920.4595824947,0.17988783781167103,56.82839035413366,29.518815761475455,261.2217745089058
2026-11-01,1563997.9796992266,482345.0932151051,0.17992928010929277,56.82840860990821,29.293444935142407,52.626664473448955
2026-12-01,1893905.229927246,545942.2236768962,0.17990678307925612,56.82839580349695,28.947053395629847,31.021852056870642
2027-01-01,2085012.2465229381,734887.7449357184,0.17985892011704008,56.82840478718422,29.55410377469374,-27.696174693735898
2027-02-01,2094419.7736419223,626325.5940591935,0.1798416765286871,56.828398485134784,30.56397987505875,-77.42020127581196
2027-03-01,1817215.2502929545,665307.6388186918,0.17986585247834813,56.82840290601743,31.451250869359246,-84.20409732573185
2027-04-01,1476848.668898634,717035.1276162965,0.17989642761370675,56.828399804771784,31.659439575989744,-20.58808275122803
2027-05-01,1034926.2557852003,633493.4479386635,0.17989994885333954,56.82840198029312,30.74003787321016,129.73236295907034
2027-06-01,671512.0183799322,436873.69899848825,0.1798791129201789,56.82840045416664,29.703956814123448,257.1415429416517
2027-07-01,507669.286362423,551303.1701916066,0.1798614294604694,56.82840152474315,29.188161645627236,345.3884077126198
2027-08-01,494614.3806631085,349102.87028396584,0.17986463127475644,56.828400773734586,29.170765953602906,246.92801832471127
